,order_details_id,order_id,order_date,order_time,item_id,item_name,category,price,sales_tax,revenue
0,1,1,1/1/23,2025-05-15 11:38:36,109,Korean Beef Bowl,Asian,17.95,14.36,32.31
1,2,2,1/1/23,2025-05-15 11:57:40,108,Tofu Pad Thai,Asian,14.5,11.6,26.1
2,3,2,1/1/23,2025-05-15 11:57:40,124,Spaghetti,Italian,14.5,11.6,26.1
3,4,2,1/1/23,2025-05-15 11:57:40,117,Chicken Burrito,Mexican,12.95,10.36,23.31
4,5,2,1/1/23,2025-05-15 11:57:40,129,Mushroom Ravioli,Italian,15.5,12.4,27.9
5,6,2,1/1/23,2025-05-15 11:57:40,106,French Fries,American,7.0,5.6,12.6
6,7,3,1/1/23,2025-05-15 12:12:28,117,Chicken Burrito,Mexican,12.95,10.36,23.31
7,8,3,1/1/23,2025-05-15 12:12:28,119,Chicken Torta,Mexican,11.95,9.56,21.509999999999998
8,9,4,1/1/23,2025-05-15 12:16:31,117,Chicken Burrito,Mexican,12.95,10.36,23.31
9,10,5,1/1/23,2025-05-15 12:21:30,117,Chicken Burrito,Mexican,12.95,10.36,23.31
10,11,6,1/1/23,2025-05-15 12:29:36,101,Hamburger,American,12.95,10.36,23.31
11,12,6,1/1/23,2025-05-15 12:29:36,114,Potstickers,Asian,9.0,7.2,16.2
12,13,7,1/1/23,2025-05-15 12:50:37,123,Chips & Guacamole,Mexican,9.0,7.2,16.2
13,14,8,1/1/23,2025-05-15 12:51:37,123,Chips & Guacamole,Mexican,9.0,7.2,16.2
14,15,9,1/1/23,2025-05-15 12:52:01,108,Tofu Pad Thai,Asian,14.5,11.6,26.1
15,16,9,1/1/23,2025-05-15 12:52:01,126,Fettuccine Alfredo,Italian,14.5,11.6,26.1
16,17,9,1/1/23,2025-05-15 12:52:01,110,Pork Ramen,Asian,17.95,14.36,32.31
17,18,9,1/1/23,2025-05-15 12:52:01,117,Chicken Burrito,Mexican,12.95,10.36,23.31
18,19,9,1/1/23,2025-05-15 12:52:01,117,Chicken Burrito,Mexican,12.95,10.36,23.31
19,20,9,1/1/23,2025-05-15 12:52:01,129,Mushroom Ravioli,Italian,15.5,12.4,27.9
20,21,9,1/1/23,2025-05-15 12:52:01,122,Chips & Salsa,Mexican,7.0,5.6,12.6
21,22,9,1/1/23,2025-05-15 12:52:01,130,Shrimp Scampi,Italian,19.95,15.96,35.91
22,23,9,1/1/23,2025-05-15 12:52:01,132,Eggplant Parmesan,Italian,16.95,13.56,30.509999999999998
23,24,10,1/1/23,2025-05-15 13:00:15,129,Mushroom Ravioli,Italian,15.5,12.4,27.9
24,25,10,1/1/23,2025-05-15 13:00:15,105,Mac & Cheese,American,7.0,5.6,12.6
25,26,11,1/1/23,2025-05-15 13:02:59,101,Hamburger,American,12.95,10.36,23.31
26,27,11,1/1/23,2025-05-15 13:02:59,102,Cheeseburger,American,13.95,11.16,25.11
27,28,11,1/1/23,2025-05-15 13:02:59,102,Cheeseburger,American,13.95,11.16,25.11
28,29,11,1/1/23,2025-05-15 13:02:59,113,Edamame,Asian,5.0,4.0,9.0
29,30,12,1/1/23,2025-05-15 13:04:41,102,Cheeseburger,American,13.95,11.16,25.11
30,31,12,1/1/23,2025-05-15 13:04:41,102,Cheeseburger,American,13.95,11.16,25.11
31,32,12,1/1/23,2025-05-15 13:04:41,104,Veggie Burger,American,10.5,8.4,18.9
32,33,12,1/1/23,2025-05-15 13:04:41,117,Chicken Burrito,Mexican,12.95,10.36,23.31
33,34,13,1/1/23,2025-05-15 13:11:55,129,Mushroom Ravioli,Italian,15.5,12.4,27.9
34,35,14,1/1/23,2025-05-15 13:14:19,114,Potstickers,Asian,9.0,7.2,16.2
35,36,15,1/1/23,2025-05-15 13:33:00,107,Orange Chicken,Asian,16.5,13.2,29.7
36,37,15,1/1/23,2025-05-15 13:33:00,124,Spaghetti,Italian,14.5,11.6,26.1
37,38,15,1/1/23,2025-05-15 13:33:00,121,Cheese Quesadillas,Mexican,10.5,8.4,18.9
38,39,15,1/1/23,2025-05-15 13:33:00,114,Potstickers,Asian,9.0,7.2,16.2
39,40,16,1/1/23,2025-05-15 13:34:07,125,Spaghetti & Meatballs,Italian,17.95,14.36,32.31
40,41,16,1/1/23,2025-05-15 13:34:07,111,California Roll,Asian,11.95,9.56,21.509999999999998
41,42,16,1/1/23,2025-05-15 13:34:07,106,French Fries,American,7.0,5.6,12.6
42,43,17,1/1/23,2025-05-15 13:53:00,101,Hamburger,American,12.95,10.36,23.31
43,44,17,1/1/23,2025-05-15 13:53:00,116,Steak Tacos,Mexican,13.95,11.16,25.11
44,45,17,1/1/23,2025-05-15 13:53:00,124,Spaghetti,Italian,14.5,11.6,26.1
45,46,17,1/1/23,2025-05-15 13:53:00,125,Spaghetti & Meatballs,Italian,17.95,14.36,32.31
46,47,17,1/1/23,2025-05-15 13:53:00,117,Chicken Burrito,Mexican,12.95,10.36,23.31
47,48,17,1/1/23,2025-05-15 13:53:00,127,Meat Lasagna,Italian,17.95,14.36,32.31
48,49,17,1/1/23,2025-05-15 13:53:00,128,Cheese Lasagna,Italian,15.5,12.4,27.9
49,50,17,1/1/23,2025-05-15 13:53:00,129,Mushroom Ravioli,Italian,15.5,12.4,27.9
50,51,17,1/1/23,2025-05-15 13:53:00,118,Steak Burrito,Mexican,14.95,11.96,26.91
51,52,17,1/1/23,2025-05-15 13:53:00,131,Chicken Parmesan,Italian,17.95,14.36,32.31
52,53,18,1/1/23,2025-05-15 13:57:08,111,California Roll,Asian,11.95,9.56,21.509999999999998
53,54,19,1/1/23,2025-05-15 13:59:09,110,Pork Ramen,Asian,17.95,14.36,32.31
54,55,19,1/1/23,2025-05-15 13:59:09,120,Steak Torta,Mexican,13.95,11.16,25.11
55,56,20,1/1/23,2025-05-15 14:03:08,107,Orange Chicken,Asian,16.5,13.2,29.7
56,57,20,1/1/23,2025-05-15 14:03:08,124,Spaghetti,Italian,14.5,11.6,26.1
57,58,21,1/1/23,2025-05-15 14:14:29,110,Pork Ramen,Asian,17.95,14.36,32.31
58,59,22,1/1/23,2025-05-15 14:16:26,124,Spaghetti,Italian,14.5,11.6,26.1
59,60,22,1/1/23,2025-05-15 14:16:26,110,Pork Ramen,Asian,17.95,14.36,32.31
60,61,22,1/1/23,2025-05-15 14:16:26,105,Mac & Cheese,American,7.0,5.6,12.6
61,62,23,1/1/23,2025-05-15 14:19:03,105,Mac & Cheese,American,7.0,5.6,12.6
